title,lyrics
Liberian Girl,"Nakupenda pia
Nakutaka pia
Mpenzi we'

Liberian girl, you came and you changed my world
A love so brand new
Liberian girl, you came and you changed me, girl
A feeling so true

Liberian girl
You know that you came and you changed my world
Just like in the movies
With two lovers in a scene
And she says, ""Do you love me?""
And he says, ""So endlessly
I love you, Liberian girl""
[Post-Chorus: Letta Mbulu & 
Michael Jackson
]
Nakupenda pia
Nakutaka pia (
Ooh-ooh, baby
)
Mpenzi we'
Ah, ah, ah-ah-ah
Mmm, baby, alright

Liberian girl, more precious than any pearl
Your love's so complete
Liberian girl, you kiss me, then, ooh, the world
You do this to me

Liberian girl
You know that you came and you changed my world
Just like in the movies
With two lovers in a scene
And she says, ""Do you love me?""
And he says, ""So endlessly
I love you, Liberian girl""
[Post-Chorus: Letta Mbulu & 
Michael Jackson
]
Nakupenda pia
Nakutaka pia (
Ooh-ooh, baby
)
Mpenzi we'
Ah, ah, ah-ah-ah

Liberian girl
You know that you came and you changed my world
I wait for the day
When you have to say, ""I do""
And I'll smile and say it too
And forever will be true

I love you, Liberian girl all the time
I love you, Liberian girl all the time
I love you, Liberian girl all the time
I love you, Liberian girl all the time

I love you (Girl)
I love you, baby
I want you
I love you, baby, ooh (Girl)
I love you, baby
I want you, baby, ooh (Girl)"
Off the Wall,"When the world is on your shoulder
Gotta straighten up your act and boogie down
If you can't hang with the feelin'
Then there ain't no room for you in this part of town

'Cause we're the party people night and day
Livin' crazy, that's the only way

So tonight, gotta leave that nine to five upon the shelf
And just enjoy yourself
Groove, let the madness in the music get to you
Life ain't so bad at all
If you live it off the wall
Life ain't so bad at all (Live life off the wall)
Live your life off the wall (Live it off the wall)

You can shout out all you want to
'Cause there ain't no sin in folks all gettin' loud
If you take the chance and do it
Then there ain't no one who's gonna put you down
'Cause we're the party people night and day
Livin' crazy, that's the only way

So tonight, gotta leave that nine to five upon the shelf
And just enjoy yourself (Come on, and)
Groove, let the madness in the music get to you
Life ain't so bad at all
If you live it off the wall
Life ain't so bad at all (Live life off the wall)
Live your life off the wall (Live it off the wall)

Do what you want to do
There ain't no rules, it's up to you (Ain't no rules, it's all up to you)
It's time to come alive
And party on right through the night (All right)

Gotta hide your inhibitions
Gotta let that fool loose deep inside your soul
Wanna see an exhibition (A-hee!)
Better do it now before you get too old

'Cause we're the party people night and day
Livin' crazy, that's the only way

So tonight, gotta leave that nine to five upon the shelf
And just enjoy yourself (Come on, and)
Groove, let the madness in the music get to you
Life ain't so bad at all
If you live it off the wall
Life ain't so bad at all (Live life off the wall)
Live your life off the wall
So tonight, gotta leave that nine to five upon the shelf
And just enjoy yourself (Come on, and)
Groove, let the madness in the music get to you
Life ain't so bad at all
If you live it off the wall
Tonight, gotta leave that nine to five upon the shelf (Yeah)
And just enjoy yourself (Come on, and)
Groove, let the madness in the music get to you
Life ain't so bad at all (Wanna live)
Tonight, gotta leave that nine to five upon the shelf (Nine to five)
And just enjoy yourself (Come on, and)
Groove, let the madness in the music get to you
Life ain't so bad at all (Yeah)"
Will You Be There,"*Harmonizing*

Hold me like the River Jordan
And I will then say to thee
""You are my friend""
Carry me like you are my brother
Love me like a mother
Will you be there?

Hey
Yeah
Mother
Oh, baby

Weary, tell me will you hold me?
When wrong, will you scold me?
When lost will you find me?
But they told me a man should be faithful
And walk when not able
And fight 'til the end, but I'm only human

Mother
Hey

Everyone's taking control of me
Seems that the world's got a role for me
I'm so confused, will you show it to me?
You'll be there for me and
Care enough to bear me

Hold me (Show me), lay your head lowly (Told me)
Softly then boldly (Yeah)
Carry me there (I'm only human), lead me (Hold me)
Love me and feed me (Yeah, yeah), kiss me and free me (Yeah)
I will feel blessed (I'm only human), carry (Carry)
Carry me boldly (Carry me), lift me up slowly (Yeah)
Carry me there (I'm only human), save me (Lift me)
Heal me and bathe me (Lift me up, lift me up)
Softly you say to me, ""I will be there"" (I will be there)
Lift me, lift me up slowly, carry me boldly (Yeah)
Show me you care (Yeah), hold me (Hoo)
Lay your head lowly (It gets lonely sometimes)
Softly then boldly (I get lonely, yeah, yeah)
Carry me there (Carry me there), need me (Hoo)
Love me and feed me (Lift me up, hold me up)
Kiss me and free me (Lift me up sometimes, up sometimes)
I will feel blessed (Yeah)

In our darkest hour
In my deepest despair
Will you still care?
Will you be there?
In my trials and my tribulations
Through our doubts and frustrations
In my violence, in my turbulence
Through my fear and my confessions
In my anguish and my pain
Through my joy and my sorrow
In the promise of another tomorrow
I'll never let you part
For you're always in my heart"
They Don’t Care About Us (Single Edit),"All I wanna say is that they don't really care about us
(Don't worry what people say, we know the truth)
All I wanna say is that they don't really care about us
(Enough is enough of this garbage)
All I wanna say is that they don't really care about us

Skinhead, dead head, everybody gone bad
Situation, aggravation, everybody, allegation
In the suit, on the news, everybody, dog food
Bang bang, shot dead, everybody's gone mad

All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us

Beat me, hate me, you can never break me
Will me, thrill me, you can never kill me
*** me, sue me, everybody do me
Kick me, **** me, don't you black or white me

All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us

Tell me, what has become of my life?
I have a wife and two children who love me
I am the victim of police brutality, now (Hee)
I'm tired of being the victim of hate
You're ripping me of my pride, oh, for God's sake
I look to heaven to fulfill its prophecy, set me free

Skinhead, dead head, everybody's gone bad
Trepidation, speculation, everybody, allegation
In the suit, on the news, everybody, dog food
Black male, blackmail, throw the brother in jail

All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us

Tell me, what has become of my rights?
Am I invisible 'cause you ignore me?
Your proclamation promised me free liberty, now (Hee)
I'm tired of being the victim of shame
They're throwing me in a class with a bad name
I can't believe this is the land from which I came
You know, I really do hate to say it
The government don't wanna see
But if Roosevelt was livin'
He wouldn't let this be, no, no

Skinhead, dead head, everybody's gone bad
Situation, speculation, everybody, litigation
Beat me, bash me, you can never trash me
Hit me, kick me, you can never get me

All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us


Some things in life
They just don't wanna see
But if Martin Luther was livin'
He wouldn't let this be, no, no, no, yeah, yeah, yeah, yeah

Skinhead, dead head, everybody's gone bad
Situation, segregation, everybody, allegation
In the suit, on the news, everybody, dog food
Kick me, **** me, don't you wrong or right me
(We're deep in the fire)

All I wanna say is that they don't really care about us
(We're deep in the fire)
All I wanna say is that they don't really care about us
(I'm here to remind you)
All I wanna say is that they don't really care about us
(Don't you sit back and watch the beatin')
All I wanna say is that they don't really care about (Hoo-hoo)
All I wanna say is that they don't really care about (Hoo-hoo)
All I wanna say is that they don't really care about us
(Hee-hee-hee, hee-hee, hoo-hoo)"
The Lady in My Life,"There'll be no darkness tonight
Lady, our love will shine (Lighting the night)
Just put your trust in my heart
And meet me in paradise (Now is the time)
Girl, you're every wonder in this world to me
A treasure time won't steal away

So listen to my heart
Lay your body close to mine
Let me fill you with my dreams
I can make you feel alright
And, baby, through the years
Gonna love you more each day
So I promise you tonight
That you will always be the lady in my life

Lay back in my tenderness
Let's make this a night we won't forget
Girl, I need your sweet caress, oh
Reach out to a fantasy
Two hearts in a beat of ecstasy
Come to me, girl

And I will keep you warm through the shadows of the night
Let me touch you with my love
I can make you feel so right
And, baby, through the years
Even when we're old and gray
I will love you more each day
'Cause you will always be the lady in my life

Stay with me
I want you to stay with me
I need you by my side
Don't you go nowhere
(Ooh, girl, let me keep you warm)
Let me keep you warm
(You are the lady in my life)
You're my lady
(Feel you with the sweetest love)
I want to squeeze you
(Always the lady in my life)
I want to touch you, baby
(Lay back in my tenderness)
(You are the lady in my life)
(Rock me with your sweet caress)
(Always the lady in my life)
You're my lady and I love you, girl
(Ooh, girl, let me keep you warm)
(You are the lady in my life)
Don't you go nowhere
(Feel you with the sweetest love)
(Always the lady in my life)
I love you I, love you, I need you, I want you, baby
(Lay back in my tenderness)
Stay with me
(You are the lady in my life)
Don't you go nowhere
(Rock me with your sweet caress)
And I love you, baby
(Always the lady in my life)
Woo, ooh, babe
Don't go nowhere
You're my lady
All through the night

(Ooh, girl, let me keep you warm)
I want to give you all
(You are the lady in my life)
In my life
(Feel you with the sweetest love)
Let me feel you baby
(Always the lady in my life)
All over, all over, all over
(Lay back in my tenderness)
Lay back with me
(You are the lady in my life)
Let me touch you, girl
(Rock me with your sweet caress)
Lay back with me
(Always the lady in my life)
All over, all over, all over
(Ooh, girl, let me keep you warm)
All over, all over
(You are the lady in my life)
All over, all over, babe, woo
(Fill you with the sweetest love)
(Always the lady in my life)
You're my lady
(Lay back in my tenderness)
You're my lady, babe
(You are the lady in my life)
Hee"
Scream,"Hoo
No
Hoo, hee
Hoo

I'm tired of injustice, ah
I'm tired of the schemes, ah
The lies are disgustin', ah
So what does it mean? Damn it
Kickin' me down, ah
I got to get up, ah
As jacked as it sounds, ah
The whole system sucks, damn it
Hoo
Hoo-hoo

Peek in the shadow (Hoo-hoo)
I come into the light (Hee-hee)
But you tell me I'm wrong (Hee-hee)
Then you better prove you're right
And you're sellin' out souls
But I, I care about mine
I've got to get stronger
And I won't give up the fight

With such confusion, don't it make you wanna scream? (Make you wanna scream?)
Your bash abusin' victimized within the scheme (Hoo!)
You try to cope with every lie they scrutinize
Somebody, please have mercy, 'cause I just can't take it

Just stop pressurin' me
Just stop pressurin' me
Just stop pressurin' me
Make me wanna scream (
Hee, hee
)
Just stop pressurin' me
Just stop pressurin' me (
You just stop it, baby
)
Just stop pressurin' me
Make me wanna scream (
You just, you just
)
[Verse 3: Michael Jackson & 
Janet Jackson
]
I'm tired of you tellin', ah (
Tellin'
)
The story your way, ah (
Story your way
)
You're causin' confusion, ah (
Confusion
)
You think it's okay, damn it
You keep changin' the rules (Hoo-hoo)
While I keep playin' the game (Hoo-hoo)
I can't take it much longer (Hoo-hoo)
I think I might go insane (Baby)
Oh, baby (Hoo)

With such confusion, don't it make you wanna scream? (Make you wanna scream?)
Your bash abusin' victimize within the scheme (Schemin', baby)
You find your pleasure scandalizin' every lie
Oh Father, please have mercy, 'cause I just can't take it

Just stop pressurin' me (
Stop your pressure
)
Just stop pressurin' me
Just stop pressurin' me (
Hee-hee
)
Make me wanna scream (
Hoo, hoo
)
Just stop pressurin' me (
Stop your pressure
)
Just stop pressurin' me (
Stop your pressure
)
Just stop fuckin' with me (
Hee!
)
Make me wanna scream (
Hee!
)

Oh my God, can't believe what I saw
As I turned on the TV this evening
I was disgusted by all the injustice
All the injustice (
All the injustice
)
(A man has been brutally beaten to death by police after being wrongly identified as a robbery suspect)
(The man was an eighteen-year-old black male)

Hoo-hoo
Hoo-hoo
Oh
Yeah, yeah
Baby (Hoo)

With such delusion, don't it make you wanna scream? (Make you wanna scream)
Your bash abusin' victimized within the scheme (Make you want to scream)
You try to cope with every lie they scrutinize
Oh brother, please have mercy, 'cause I 
just can't take it (Just can't take it)
Hoo (Hoo), hoo-hoo (Hoo)
(Stop your pressure)

Just stop pressurin' me (
Stop your pressure
)
Just stop pressurin' me (
Stop your pressure
)
Just stop pressurin' me (
Hee
)
Make me want to scream (
You know you make me, make me wanna scream
)
Just stop pressurin' me (
Hoo-hoo
; 
stop your pressure
)
Just stop pressurin' me (
Stop your pressure
)
Just stop pressurin' me (
Yeah, yeah
)
Make me want to scream (
You're dirty, you're dirty, baby
; 
hoo
)
Just stop pressurin' me (
Don't you do it
)
Just stop pressurin' me (
Stop your pressure
)
Just stop pressurin' me
Make me wanna scream
Just stop pressurin' me (
Blame it on yourself
)
Just stop pressurin' me (
Don't you, stop your— bah
)
Just stop pressurin' me
Make me want to scream (
Stop your pressure
)"
In the Closet,"There's something I have to say to you
If you promise you'll understand
I cannot contain myself when in your presence
I'm so humble
Touch me, don't hide our love
Woman to man

She's just a lover who's doin' me by
It's worth the givin', it's worth the try
You cannot cleave it or put it in the furnace
You cannot wet it, you cannot burn it
She wants to give it

She wants to give it
Ah, she wants to give it (Dare me)
She wants to give it
Ah, she wants to give it (She wants to give it)
She wants to give it (Yeah)
Ah, she wants to give it
She wants to give it
Ah, she wants to give it

It's just a feelin', you have to soothe it
You can't neglect it, you can't abuse it
It's just desire, you cannot waste it
Then if you want it, then won't you taste it?
She wants to give it

She wants to give it
Ah, she wants to give it (Dare me)
She wants to give it
Ah, she wants to give it (She wanna get it)
She wants to give it (Yeah)
Ah, she wants to give it
She wants to give it
Ah, she wants to give it

One thing in life you must understand
The truth of lust, woman to man
So open the door and you will see
There are no secrets, make your move, set me free

Oh, because there's somethin' about you, baby
That makes me want to give it to you
I swear there's somethin' about you, baby (Oh)
Just promise me whatever we say or whatever we do to each other
For now, we'll make a vow to just keep it in the closet

If you can get it, is it worth the try?
I really want it, I can't deny
It's just desire, I really love it
'Cause if it's achin', you have to rub it
She wants to give it

She wants to give it
Ah, she wants to give it (Dare me)
She wants to give it
Ah, she wants to give it (Get it)
She wants to give it (Yeah)
Ah, she wants to give it
She wants to give it
Ah, she wants to give it

Just open the door and you will see
This passion burns inside of me
Don't say to me you'll never tell
Touch me there, make the move, cast the spell
Oh, because there's somethin' about you, baby
That makes me want to give it to you
I swear there's somethin' about you, baby
That makes me want
Just promise me whatever we say or do to each other (Whatever we do)
We'll make a vow forever that we'll just keep it in the closet

Because there's somethin' about you, baby
That makes me want to give it to you
Because there's somethin' about you, baby
That makes me want to give it to you
I swear there's somethin' about you, baby
That makes me want to give it to you
I swear there's somethin' about you, baby
That makes me want to give it to you
I swear there's somethin' about you, baby
That makes me want to give it to you
I swear there's somethin' about you, baby
That makes me want

Just promise me whatever we say or whatever we do to each other (Baby, whatever we do)
For now, we'll make a vow to just keep it in the closet

She wants to give it (Dare me)
Keep it in the closet
She wants to give it (Dare me)
Keep it in the closet
She wants to give it
Ah, she wants to give it (Dare me)
She wants to give it
Ah, she wants to give it
She wants to give it
Ah, she wants to give it
She wants to give it
Ah, she wants to give it (Break it down)
She wants to give it (Dare me)
She wants to give it
Ah, she wants to give it
She wants to give it (Keep it in the closet)
She wants to give it (Ah)
She wants to give it (Ah, better keep it in the closet)
She wants to give it
Ah, she wants to give it (Dare me)"
Dangerous,"The way she came into the place, I knew right then and there
There was something different about this girl
The way she moved her hair, her face, her lines
Divinity in motion
As she stalked the room, I could feel the aura of her presence
Every head turned feeling passion and lust
The girl was persuasive, the girl I could not trust
The girl was bad, the girl was dangerous

I never knew but I was walkin' the line (Hee!)
""Come go with me,"" I said, ""I have no time (Hee-hee!)
And don't you pretend we didn't talk on the phone"" (Hee!)
My baby cried, she left me standin' alone (Hee! Hee!)

She's so dangerous
The girl is so dangerous (Hee-hee!)
Take away my money
Throw away my time
You can call me honey
But you're no damn good for me

She came at me in sections with the eyes of desire
I fell trapped into her web of sin
A touch, a kiss, a whisper of love, I was at the point of no return
Deep in the darkness of passion's insanity
I felt taken by lust's strange inhumanity
This girl was persuasive, this girl, I could not trust
The girl was bad, the girl was dangerous

I never knew but I was living in vain (Hee!)
She called my house, she said, ""You know my name""
(She called me)
And don't you pretend you never did me before"" (Don't you, don't you, do it!) (Hee!)
With tears in her eyes, my baby walked out the door
(Don't you, don't you, don't you) (Hee! Hee! Hee! Hee!)

She's so dangerous
The girl is so dangerous (Hee-hee!)
Take away my money, throw away my time
You can call me honey
But you're no damn good for me
Dangerous
The girl is so dangerous (Hee-hee!) (Dog gone!)
I have to pray to God
'Cause I know how lust can blind
It's a passion in my soul
But you're no damn lover friend of mine

Hee-hee!
Ooh!
Ooh!
Hoo!

I cannot sleep alone at night
My baby left me here tonight
I cannot cope 'til it's all right
You and your manipulation, you hurt my baby!

And then it happened, she touched me
For the lips of a strange woman drop as a honeycomb
And her mouth was smoother than oil
But her inner spirit and words were as sharp as a two-edged sword
But I loved it, 'cause it's dangerous

Dangerous (Hee!)
The girl is so dangerous (Hee-hee, hee!)
Take away my money
Throw away my time (Oh!)
You can call me honey
But you're no damn good for me
Dangerous (Hee!)
The girl is so dangerous (Hee-hee!) (Hee!)
Take away my money, throw away my time (Dog gone!) (Oh!)
You can call me honey
But you're no damn good for me
Dangerous (Hee!)
The girl is so dangerous (Hee-hee!)
Take away my money, throw away my time (Woah!) (Oh, yeah!)
You can call me honey
But you're no damn good for me
Dangerous (Hee! Hee!)
The girl is so dangerous (Hoo-hee! Hoo!) (Dog gone!)
I have to pray to God
'Cause I know how lust can blind
It's a passion in my soul
But you're no damn lover friend of mine (Hoo!)

Hoo!
Hoo!
My baby
You been, you take, uh
You don't, you don't, don't
Mess with my baby
Hoo! Hoo!
Hoo!
Hoo!
Hoo!
Hoo!
Dee-da, dum
Dee-da, dee-da
Hoo!
Dee-da, dee-da
Hoo!"
Jam,"One, two, three, jam
Jam, jam, jam
Jam, if you wanna get up, then jam
Jam, jam, you wanna get up, then jam
Jam, jam, jam, you wanna get up, jam
You wanna get up, jam, you wanna get up, jam
You wanna get up, jam, you wanna get up, jam
You wanna get up, jam, you wanna get up, jam
You wanna get up, jam, you wanna get up and jam
Jam, jam, you wanna get up and jam
Jam, jam, said you wanna get up and jam
Jam, jam, said you wanna get up and jam
Jam, jam, said you wanna get up and jam

Nation to nation, all the world must come together
Face the problems that we see then maybe somehow we can work it out
I asked my neighbor for a favor, she said later
What has come of all the people, have we lost love of what it's about?
I have to find my peace 'cause no one seems to let me be
False prophets cry of doom, what are the possibilities?
I told my brother there'll be problems, times and tears for fears
But we must live each day like it's the last
Go with it, go with it

Jam (Jam it)
It ain't too much stuff
(Jam) It ain't too much (Jam it)
It ain't too much for me to
Jam, it ain't (Jam it)
It ain't too much stuff
(Jam) It ain't, don't you (Jam it)
It ain't too much for me

The world keeps changing, rearranging minds and thoughts
Predictions fly of doom, the baby boom has come of age, we'll work it out
I told my brothers don't you ask me for no favors
I'm conditioned by the system, don't you talk to me, don't scream and shout
She prays to God, to Buddha, then she sings a Talmud song
Confusions contradict the self, do we know right from wrong?
I just want you to recognize me in the temple
You can't hurt me, I found peace within myself
Go with it, go with it

Jam, it ain't (Jam it)
It ain't too much stuff
(Jam) It ain't too much (Jam it)
It ain't too much for me to
Jam, it ain't (Jam it)
It ain't too much stuff
(Jam) It ain't, don't you (Jam it)
It ain't too much for me to
Jam (Jam it)
It ain't too much stuff
(Jam) It ain't too much (Jam it)
It ain't too much for me to
Jam, it ain't (Jam it)
It ain't too much stuff
(Jam) It ain't, don't you (Jam it)
It ain't too much for me to

Jam, jam, here comes the man
Hot damn, the big boy stands with an upper hand
Makin' funky tracks with my man Michael Jackson
Smooth criminal hat, the man is Mike, so relaxed
Mingle, mingle, jingle in the jungle
Bum rushed the door, 3 and 4's in a bundle
Execute the plan, first, I cooled it like a fan
Got with Janet, then with Guy, now with Michael
'Cause it ain't too hard to

Jam, it ain't (Jam it)
It ain't too much stuff
(Jam) It ain't too much (Jam it)
It ain't too much for me to
Just jam, dad gone it (Jam it)
It ain't too much stuff
(Jam) It ain't, don't stop (Jam it)
It ain't too much for me to
Just jam, it ain't (Jam it)
It ain't too much stuff
(Jam) It ain't, don't you (Jam it)
It ain't too much for me to (Hoo-hoo!)
Just jam, it ain't (Jam it) (Hoo-hoo!)
It ain't too much stuff
(Jam) It ain't, don't you (Jam it) (Hoo-hoo!)
It ain't too much for me to
Jam (Hoo!)

It ain't too hard for me to jam
It ain't too hard for me to jam
It ain't too hard for me to jam
It ain't too hard for me to jam
It ain't too hard for me to jam
It ain't too hard for me to jam
It ain't too hard for me to jam, it ain't too hard for me to jam, it ain't too hard for me to jam (Get down, hoo!)
Ooh!
Ooh!

Dad gone it!

Jam, it ain't (Jam it)
It ain't too much stuff
(Jam) It ain't, don't you (Jam it)
It ain't too much for me to
Just jam (Jam it)
It ain't too much stuff
(Jam) It ain't too much (Jam it)
It ain't too much for me to
Just jam (Dad gone it) (Jam it)
Uh-huh (Dad gone it), It ain't too much stuff (Hee-hee!)
(Jam) It ain't too much (Jam it)
It ain't too much for me to
Just jam, too much (Jam it)
It ain't too much stuff
(Jam) It ain't, don't you (Jam it)
It ain't too much for me to

Dad gone it
Dad gone it, give it, baby
Give it to me
Won't you really give it to me?
Got to give it (Uh-huh)
You just want to give it"
Heaven Can Wait,"Tell the angels, ""No""
I don't wanna leave my baby alone
I don't want nobody else to hold you
That's a chance I'll take
Baby, I'll stay, Heaven can wait
No, if the angels took me from this Earth
I would tell 'em, ""Bring me back to her""
It's a chance I'll take, maybe I'll stay
Heaven can wait

(You're beautiful, you're wonderful, incredible, I love you so)
You're beautiful
Each moment spent with you is simply wonderful
This love I have for you, girl, it's incredible (Incredible)
And I don't know what I'd do if I can't be with you
The world could not go on, so every night I pray
If the Lord should come for me before I wake
I wouldn't wanna go if I can't see your face, can't hold you close
What good would Heaven be?
If the angels came for me, I'd tell them, ""No""

No, I don't wanna leave my baby alone
I don't want nobody else to hold you
That's the chance I'll take
Baby, I'll stay, Heaven can wait
No (No), if the angels took me from this Earth
I would tell them, ""Bring me back to her""
It's a chance I'll take, maybe I'll stay
Heaven can wait

Unthinkable
Me sittin' up in the clouds and you are all alone
The time might come around when you'd be movin' on (Movin' on)
I'd turn it all around and try to get back down to my baby girl
Can't stand to see nobody kissin', touchin' her
Couldn't take nobody lovin' you the way we were
What good would Heaven be?
If the angels come for me, I'd tell them, ""No""

No (Yeah), I don't wanna leave my baby alone (My baby)
I don't want nobody else to hold you (Don't you do this to me)
That's a chance I'll take (If the angels come around, just tell 'em to bring me down to my baby)
Baby, I'll stay, Heaven can wait
No, if the angels took me from this Earth (Don't you do this to me)
I would tell 'em, ""Bring me back to her"" (Heaven can wait)
It's a chance I'll take, maybe I'll stay
Heaven can wait

Oh no, can't be without my baby (I can't be without my baby)
Won't go, without her, I'd go crazy (You can't take her from me)
Oh no, guess Heaven will be waiting (See, if the angels come around, just tell 'em to bring me down to my baby)
Oh no, can't be without my baby (Hey, don't you do this to me)
Won't go, without her, I'd go crazy (I can't be without my baby)
Oh no, guess Heaven will be waiting (Hey)
(I love you, girl, I need you, baby, I want you, baby)
No, no!

No, I don't wanna leave my baby alone
I don't want nobody else to hold you
That's a chance I'll take
Baby, I'll stay, Heaven can wait
No, if the angels took me from this Earth
I would tell them, ""Bring me back to her""
It's a chance I'll take, maybe I'll stay
Heaven can wait

I said no, just leave us alone
(You're beautiful, you're wonderful, incredible, I love you so) Leave us alone
Please leave us alone (You're beautiful)
Please leave us alone, ah, leave me alone
Please leave me alone, I said, leave me alone"
Who Is It,"I gave her money, I gave her time
I gave her everything inside
One heart could find
I gave her passion, my very soul
I gave her promises and secrets so untold

And she promised me forever
And a day we'd live as one
We made our vows, we'd live a life anew
And she promised me in secret that
She'd love me for all time
It's a promise so untrue
Tell me what will I do?

And it doesn't seem to matter
And it doesn't seem right
'Cause the will has brought no fortune
Still, I cry alone at night
Don't you judge of my composure
'Cause I'm lying to myself
And the reason why she left me
Did she find in someone else?

(Who is it?)
It is a friend of mine?
(Who is it?)
Is it my brother?
(Who is it?)
Somebody hurt my soul now
(Who is it?)
I can't take this stuff no more

I am the damned, I am the dead
I am the agony inside the dying head
This is injustice, woe unto thee
I pray this punishment
Would have mercy on me

And she promised me forever
That we'd live our life as one
We made our vows
We'd live a love so true
It seems that she has left me
For such reasons unexplained
I need to find the truth
But see, what will I do?

And it doesn't seem to matter
And it doesn't seem right
'Cause the will has brought no fortune
Still, I cry alone at night
Don't you judge of my composure
'Cause I'm bothered everyday
And she didn't leave a letter
She just upped and ran away

Who is it?
It is a friend of mine?
(Who is it?)
Is it my brother?
(Who is it?)
Somebody hurt my soul, now
(Who is it?)
I can't take it 'cause I'm lonely

Hee-hee, hee-hee
Don't try to make me
Don't try do it, I can't quit it
I never was, we never were
It just won't stop
Don't bother me, don't bother me

(Who is it?)
It is a friend of mine?
(Who is it?)
To me, I'm bothered
(Who is it?)
Somebody hurt my soul now
(Who is it?)
I can't take it 'cause I'm lonely
(Ooh! Aouw!)

And it doesn't seem to matter
(Hee-hee)
And it doesn't seem right
(Hee-hee)
'Cause the will has brought no fortune
Still, I cry alone at night
Don't you judge of my composure
(Body)
'Cause I'm lying to myself
And the reason why she left me
Did she find in someone else?
And it doesn't seem to matter
(Don't bother me)
And it doesn't seem right
(Da da da da)
(Da da, da da)
'Cause the will has brought no fortune
Still, I cry alone at night
(Jane isn't nothin' but a—)
Don't you judge of my composure
'Cause I'm bothered every day
And she didn't leave a letter
She just upped and ran away
(Can't you really see I'm lonely?)
And it doesn't seem to matter
And it doesn't seem right
(Hee-hee!)
'Cause the will has brought no fortune
Still, I cry alone at night
(Da da da, da)
Don't you judge of my composure
(Don't be, don't be, don't be judging)
'Cause I'm lying to myself
And the reason why she left me
(Don't you, don't you)
Did she find in someone else?
(Can't take it, 'cause I'm lonely)
And it doesn't seem to matter
(Don't bother me)
And it doesn't seem right
(Just won't quit it)
'Cause the will has brought no fortune
Still, I cry alone at night
(Da da, da da, Jane isn't nothin' but a–)
Don't you judge of my composure
(Don't be judging)
'Cause I'm bothered every day
(Don't be, don't be)
And she didn't leave a letter
She just upped and ran away
(Can't you really feel I'm lonely?)
And it doesn't seem to matter
(Hee-hee!)
And it doesn't seem right
(Hee-hee!)
'Cause the will has brought no fortune
Still, I cry alone at night
(She don't, she don't want me)
Don't you judge of my composure
'Cause I'm bothered every day
(She don't, she don't, she don't need it)
And she didn't leave a letter
(She don't, she don't want it)
She just upped and ran away
(Is it my brother?)
And it doesn't seem to matter
(Don't bother me, you just couldn't)
And it doesn't seem right
'Cause the will has brought no fortune
(Da da, da da, da da, da)
Still, I cry alone at night
Don't you judge of my composure
(Hee!)
'Cause I'm lying to myself
(Hee!)
And the reason why she left me
Did she find in someone else?
(I can't take it, 'cause I'm lonely)"
Stranger in Moscow,"I was wanderin' in the rain
(Mask of life, feelin' insane)
Swift and sudden fall from grace
(Sunny days seem far away)
Kremlin's shadow belittlin' me
(Stalin's tomb won't let me be)
On and on and on, it came
(Wish the rain would just let me)

How does it feel (How does it feel?)
How does it feel
How does it feel
When you're alone and you're cold inside?

Here, abandoned in my fame
(Armageddon of the brain)
KGB was doggin' me (Hee)
(Take my name and just let me be)
Then a beggar boy called my name (Hee)
(Happy days will drown the pain)
On and on and on, it came and the rain and again and again
(Take my name and just let me)

How does it feel (How does it feel?)
How does it feel
How does it feel
How does it feel
How does it feel (How does it feel now?)
How does it feel
How does it feel
When you're alone and you're cold inside?

(Привет, Michael)

How does it feel (How does it feel?)
How does it feel
How does it feel
How does it feel
How does it feel (How does it feel now?)
How does it feel
How does it feel
When you're alone and you're cold inside?

Like a stranger in Moscow
Lord, have mercy
Like a stranger in Moscow (Hee)
Lord, have mercy
We're talkin' danger
We're talkin' danger, baby
Like a stranger in Moscow
We're talkin' danger
We're talkin' danger, baby
Like a stranger in Moscow
I'm livin' lonely
I'm livin' lonely, baby
Stranger in Moscow

Зачем приехал ты, враг от запада, признайся
Приехал, чтобы украсть от нас великие достижения народа, великие труды рабочих
Зачем, признайся, подкупить народ богатством своим"
